,M1,M2,M3,M4
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,0,0,0,0
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
23,0,0,0,0
24,0,0,0,0
25,1,1,1,1
26,1,1,1,1
27,1,1,1,1
28,1,1,1,1
29,0,0,0,0
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,0,0
43,1,0,0,0
44,1,0,0,0
45,0,0,0,0
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,0
50,1,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,0,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,1,0,0,0
64,1,0,0,0
65,1,1,0,0
66,1,1,0,0
67,1,0,0,0
68,1,0,0,0
69,0,0,0,0
70,1,1,0,0
71,1,1,0,0
72,1,0,0,0
73,1,0,0,0
74,1,0,0,0
75,1,0,0,0
76,0,0,0,0
77,1,0,0,0
78,1,0,0,0
79,1,1,0,0
80,1,0,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,0,0,0,0
85,1,1,0,0
86,0,0,0,0
87,1,0,0,0
88,1,0,0,0
89,1,0,0,0
90,1,0,0,0
91,1,0,0,0
92,1,0,0,0
93,1,0,0,0
94,1,1,0,0
95,1,1,0,0
96,1,0,0,0
97,1,1,0,0
98,1,1,1,0
99,1,1,0,0
100,1,1,0,0
101,1,0,0,0
102,1,1,1,0
103,1,1,1,0
104,1,0,0,0
105,0,0,0,0
106,1,1,0,0
107,1,1,0,0
108,1,0,0,0
109,1,0,0,0
110,1,1,1,0
111,1,1,0,0
112,1,1,0,0
113,1,0,0,0
114,1,1,0,0
115,1,0,0,0
116,1,1,1,0
117,1,1,0,0
118,0,0,0,0
119,1,1,0,0
120,0,0,0,0
121,1,1,0,0
122,1,1,0,0
123,1,1,0,0
124,0,0,0,0
125,0,0,0,0
126,1,0,0,0
127,1,0,0,0
128,1,1,0,0
129,1,1,1,0
130,1,1,0,0
131,1,1,0,0
132,1,1,0,0
133,1,1,1,0
134,1,1,1,1
135,1,1,0,0
136,1,1,0,0
137,1,1,0,0
138,1,1,1,0
139,1,1,0,0
140,1,1,1,0
141,1,1,1,1
142,0,0,0,0
143,1,1,1,0
144,0,0,0,0
145,0,0,0,0
146,1,0,0,0
147,1,0,0,0
148,1,1,1,0
149,1,1,0,0
150,1,1,1,0
151,1,1,1,0
152,1,1,1,0
153,1,1,1,0
154,1,1,1,1
155,1,1,1,0
156,1,1,0,0
157,0,0,0,0
158,1,1,0,0
159,1,1,1,1
160,1,1,0,0
161,1,1,1,1
162,0,0,0,0
163,1,1,1,1
164,1,1,1,1
165,1,1,1,1
166,1,1,1,1
167,1,1,1,1
168,1,1,0,0
169,1,1,0,0
170,1,1,1,1
171,1,1,0,0
172,1,1,1,1
173,0,0,0,0
174,1,1,1,0
175,1,0,0,0
176,1,1,1,1
177,1,1,1,1
178,1,1,1,1
179,1,1,1,1
180,1,1,1,1
181,1,1,1,0
182,0,0,0,0
183,1,1,1,1
184,1,1,1,0
185,1,1,1,1
186,1,1,1,1
187,0,0,0,0
188,1,1,1,1
189,1,1,1,1
190,1,1,1,0
191,1,1,1,1
192,1,1,1,1
193,1,1,1,1
194,0,0,0,0
195,1,1,1,1
196,0,0,0,0
197,1,1,1,1
198,1,1,1,1
199,1,1,1,1
200,1,1,1,1
201,1,1,1,0
202,1,1,1,1
203,1,1,1,1
204,1,1,1,1
205,0,0,0,0
206,1,1,1,1
207,1,1,1,1
208,1,1,1,1
209,1,1,1,1
210,1,1,0,0
211,1,1,1,1
212,0,0,0,0
213,1,1,1,1
214,1,1,1,1
215,1,1,1,1
216,1,1,1,1
217,1,1,1,1
218,1,1,1,1
219,1,1,1,1
220,1,1,1,1
221,1,1,1,1
222,1,1,1,0
223,1,1,1,1
224,1,1,1,1
