"","X22hmin","X23hmin","X24hmin","X25hmin","X26hmin","X27hmin","X28hmin","X29hmin","X30hmin","X31hmin","X32hmin"
"WBGene00007063",7.79580833448936,7.828623691345,7.73566995528906,8.10656447810087,8.27065976807152,8.29742570897231,8.6201411592708,8.18580703754698,7.97784034821306,7.87209717171789,7.85280377703096
"WBGene00007064",9.27151355731027,9.30555889395308,9.41114564184564,9.74589374578764,9.77517551374591,9.86959159546864,10.1842441273297,10.4375626722633,10.574425506987,10.226220797836,9.75291038101783
"WBGene00044165",5.83117338959626,5.81486133117485,6.11199409000768,6.51681451943534,6.32550732181917,6.51348900322057,6.69243885510154,6.99832072284427,6.49777981122915,6.23147787672364,5.58049516704373
"WBGene00199694",3.18386482288485,3.32368308693838,3.3048081874754,3.45741945379731,3.15795313434379,3,3.30591227320242,3.17961123480447,3.17064907645423,3.20840849357879,3.16933015559801
"WBGene00201913",3,3,3,3,3,3,3,3,3,3,3
"WBGene00007065",7.59137306946513,7.59335251108679,7.6436223485569,7.70025106753213,7.73174697286348,7.51840307620415,7.7155315231546,7.63599557689868,7.58366064173599,7.54716945690181,7.40428127195428
"WBGene00003525",4.06169506721189,3.91098226104838,5.98913984635962,7.78729119414003,8.99084972552156,9.80151656576521,10.2097901660166,9.80181298806818,8.80080257239447,6.87541976004629,5.38797791936411
"WBGene00007067",6.72607419049049,6.41732300898362,6.07219386996546,6.05958207639213,6.20397141602177,7.02950186597936,7.55083963121298,7.88932691195479,7.71361435777546,7.2382122830177,6.60978588130215
"WBGene00174183",3,3,3,3,3,3,3.1610492818656,3,3,3,3
"WBGene00007069",3.86039629954917,3.70381281016477,3.3048081874754,3.58250280676417,3.65856832810537,4.13599417656304,3.55816982786533,4.13304252180737,4.39634693495661,3.69746386113725,3.80505916395343
"WBGene00005532",3.74812983243811,3.70381281016477,3.66733444888452,3.80419168745601,4.10904676567472,3.96949839453704,4.47066735234401,3.48309183229114,3.81014578262086,3.39047594949721,3.58317722688935
"WBGene00004964",3.62638428386653,3.81111300863501,3.16043903355889,3.32045278180302,3.30030668676606,3.16320237796913,3.30591227320242,3.84436305745843,3.90992927158662,4.35283133004185,3.58317722688935
"WBGene00195634",3,3,3,3,3,3,3,3,3,3,3
"WBGene00007070",9.89788004481627,9.50650895628527,9.31210859800794,9.41054748819658,9.41332059018296,9.50885656781423,9.62279328349916,9.66902352375194,9.41793838657724,8.98460230267762,9.09537816102343
"WBGene00000024",3,3,3,3,3,3,3.30591227320242,3.84436305745843,3.32323116836995,3.82949600137032,3
"WBGene00004098",3,3,3,3,3,3,3.1610492818656,3.33931676178847,3,3,3
"WBGene00007071",12.9041356418533,12.9856670966906,12.8776272042405,12.7680212769739,12.4818068902466,12.3456985100042,12.2381675956541,12.0598879087753,12.2794144670149,12.5455296052909,12.8221846400787
"WBGene00000724",4.15270616003962,4.09210376261684,3.95681318122028,3.9034458486567,3.9453264976464,4.35445748300359,4.20106952258271,4.29769919785714,4.09090959102183,3.95045149280633,4.31871300965789
"WBGene00007072",6.89376295487752,6.915062354819,7.06712621318767,7.25977976049162,7.30333499191233,8.13481389936633,8.85609483883294,9.09206731025861,8.91628878426786,8.61994102907792,8.22359948568508
"WBGene00007073",9.82365071549738,9.31470507796251,8.89956166549226,8.35034104271526,8.37892011515298,8.95333294382878,9.81057473974847,10.5601903802594,11.1357634713513,11.4793579644378,11.191257976149
"WBGene00047233",3,3.17090026058115,3,3,3,3,3,3.17961123480447,3,3,3
"WBGene00006428",6.08334196382671,6.21726326639682,5.92355293150611,5.35160556566634,5.63381212587077,5.62061177485636,5.35994321932771,5.46144316374712,6.07181780682097,6.47272661307533,5.77677848516284
"WBGene00166862",3,3,3,3,3,3,3,3,3,3,3.16933015559801
"WBGene00004929",12.1110902715425,12.2617004213279,12.4062744363539,12.4464039247025,12.0244145101428,11.5864030879732,11.7004520473648,11.8615765369345,11.8527634420037,11.953715249947,12.0044765763396
"WBGene00014997",3,3,3,3,3,3,3,3,3.17064907645423,3,3
"WBGene00045960",3,3,3,3,3,3,3,3,3,3,3
"WBGene00174554",3,3,3,3,3,3,3,3,3,3,3
"WBGene00174933",3,3,3,3,3,3,3,3,3,3,3
"WBGene00046547",3,3,3,3,3,3,3,3,3,3,3
"WBGene00007082",3.18386482288485,3.46182426067453,3.3048081874754,3.80419168745601,3.15795313434379,3.16320237796913,3.30591227320242,3.17961123480447,3,3.82949600137032,3.16933015559801
"WBGene00007083",3.18386482288485,3,3,3,3,3,3,3.17961123480447,3.17064907645423,3,3.16933015559801
"WBGene00007084",6.43114735475958,5.70785013797735,6.09223122375959,6.01588790834776,5.68662258967247,5.62061177485636,5.68540243547198,6.11928337593196,6.29124015717928,6.0806267407395,6.03968271463208
"WBGene00007085",3.18386482288485,3,3.16043903355889,3,3.15795313434379,3.30980472653341,3.43754749637752,3.48309183229114,3.17064907645423,3.39047594949721,3.16933015559801
"WBGene00001528",3,3,3,3,3,3,3,3,3,3,3
"WBGene00005032",4.06169506721189,4.09210376261684,4.74525624007836,4.24365272619187,4.51159416385053,4.42049824230526,4.47066735234401,4.04308490284354,3.81014578262086,4.26226235793487,4.16694831653988
"WBGene00005033",4.66664990769123,4.00438348368734,4.33865463415734,3.80419168745601,3.9453264976464,3.564699916508,3.43754749637752,3.33931676178847,3.58713363644878,3.20840849357879,3.58317722688935
"WBGene00005035",3.34692360056329,3,3,3.16910556932455,3.30030668676606,3,3.1610492818656,3,3.17064907645423,3.39047594949721,3.3208571957142
"WBGene00007080",3.18386482288485,3.58788630254318,3,3.16910556932455,3.15795313434379,3.78125036965337,3.43754749637752,3,3.58713363644878,3.39047594949721,3.45797110441148
"WBGene00005027",3,3,3.16043903355889,3,3,3.16320237796913,3.1610492818656,3.17961123480447,3.32323116836995,3.20840849357879,3
"WBGene00003231",6.29792266491412,6.34774148997005,6.44369741908304,6.29713930177916,6.75445275388474,6.98654514926702,7.03148392734577,7.19910714459793,7.12507118674859,7.2382122830177,7.55710734842302
"WBGene00005029",3.49341008903895,3.58788630254318,3.16043903355889,3.32045278180302,3,3.44287437137638,3.1610492818656,3.17961123480447,3.32323116836995,3.39047594949721,3.3208571957142
"WBGene00005030",3.74812983243811,3.58788630254318,3.3048081874754,3.16910556932455,3,3.44287437137638,3,3.61382825751936,3.17064907645423,3.39047594949721,3.16933015559801
"WBGene00014998",6.5697129866327,6.41732300898362,6.24323617358202,6.14319018410836,6.39061987341842,6.09516613158339,6.15586302463694,5.74435095891108,6.00569227740207,5.81989349406297,6.08273229195022
"WBGene00000797",5.83117338959626,5.67980941069178,5.70674674821824,5.87625583720849,5.63381212587077,5.5036103557888,6.01542667622351,6.84703912981314,7.76781561664482,7.96116491097031,7.53402740254856
"WBGene00014999",7.74552439225052,7.85394015365706,7.77958118089156,7.94704364579883,7.78115011099412,7.92332222317302,7.90373778909342,8.24752663056028,8.35949169421913,8.3278327767278,8.40839150039843
"WBGene00015000",5.65557857363215,5.09416161196161,4.46697053511677,4.45473219434699,5.00298330542376,4.95400230750391,4.93900124372965,4.13304252180737,4.86269344634414,4.8647384933334,4.75111599625432
"WBGene00044701",8.27241976162494,8.05288332388093,7.86940394746263,7.65823623505904,7.73174697286348,7.91761646603889,8.0185723875611,7.97087711863232,7.89502782411374,7.70163084388232,7.72954892514897
"WBGene00175029",3.96455373298374,4.09210376261684,4.0416949083273,3.9034458486567,3.85592716463566,4.13599417656304,4.20106952258271,3.84436305745843,4.00325547955262,4.51851231136347,4.08462637343418
"WBGene00003010",10.2937335588375,10.4212723114381,10.3691627849534,10.2130363226173,9.96082313844404,9.81845613876522,9.6737491538026,9.88184037244538,10.3551919734777,10.3077313913767,10.0239658923214
"WBGene00197796",3,3,3,3,3,3,3,3,3,3,3
"WBGene00007087",9.41859473131009,9.49247195245028,9.62224142597455,9.7239970782402,9.72082402135112,9.80769944794375,10.0219820981244,10.1409384286422,10.1987520741748,10.1882902625228,10.1213804527625
"WBGene00007088",10.6796219875756,10.65346767212,10.5691665814724,10.5548899350146,10.4674782463291,10.4951786376699,10.5686551709265,10.5853068250291,10.5339454645064,10.6422184148162,10.6276597992869
"WBGene00007089",10.617071439949,10.5194700030886,10.5393727231375,10.5181693306988,10.4077843334349,10.5301869066342,10.474077158973,10.4320352791228,10.5763250849004,10.6455815130735,10.5299418754801
"WBGene00007090",10.0580232310969,9.98453232311637,9.95463891675045,9.9100416881385,9.86383530037089,9.97636437516108,9.98614406908224,10.1259533971282,10.1851236895922,10.2514554630106,10.1658516106347
"WBGene00007091",12.16946815919,12.0765078831925,11.9296244770587,12.0066431056713,11.8968026945404,11.9189593170021,11.9161313959856,11.9001205570603,11.9570464108537,11.9881206502152,11.9762154470413
"WBGene00007092",8.41252360916918,8.53604147531093,8.37786583569244,8.45630061206744,8.61179425876452,8.72411519474901,8.84724333109836,9.0493845058583,8.99792348394232,9.10349805083714,9.11624821501037
"WBGene00007093",9.28917354807706,9.33956215073265,9.30783078324732,9.124570936145,9.20736461300319,9.23146318787841,9.3743688679914,9.32938572051359,9.40303138800927,9.43683647582666,9.3913060848237
"WBGene00000138",10.4409348658444,10.0282771541791,9.69447511883068,9.81125613118384,9.52084519638602,9.01875403995163,9.75959449091884,11.1062770002458,11.6881654819674,11.8187162640849,11.3680626976909
"WBGene00007094",9.34089237090845,9.19845869237374,9.23760225623807,9.231111191962,9.21637243889213,9.31413621995014,9.37025550214239,9.33650379619144,9.49828462417722,9.61438067664243,9.46433997309788
"WBGene00000722",10.9999505335622,13.3530428836161,13.602673720459,12.3996213654313,10.3506361691302,8.82204839696753,7.55809055823449,6.7790022677015,6.73393426570632,8.58766818190836,10.2742826950973
"WBGene00007100",9.75813138738347,9.92456079113161,10.0057130330445,10.1688326902121,10.1642079243941,10.2067037446186,10.2028678049289,9.94994629944307,9.91784170992241,9.73505300332016,9.73446841455613
"WBGene00007101",11.3053365473467,11.1218131517244,11.1214431582956,11.1487173570545,11.073772801807,11.050353425537,11.0712960953655,11.1104355391357,11.0651475421764,11.1065083712632,11.2561623532353
"WBGene00001646",8.87693928790919,9.05847050126762,9.06584924093899,9.3414273812414,9.16844120882803,9.17279459375278,9.20687228441493,8.82484501368532,8.68585710902741,8.3222395078927,8.24270642375163
"WBGene00007102",9.38613975997505,9.34849594476418,9.04800654058205,9.04528799639675,8.90709664480978,8.98095313969323,8.89669863295893,9.0694603928449,9.251970811145,9.28409543413484,9.2114556280936
"WBGene00007103",11.4692321433351,11.6767307685528,11.9629930058284,11.9605698063209,11.5532321100908,10.7507955512713,10.3141160604822,10.5561308581638,11.3468901002492,11.4755836358989,11.2875514226536
"WBGene00007104",7.11359542510324,6.63740490946928,6.60580053697475,6.24131567425925,5.94687653395437,5.59223890785041,5.97265636758147,5.46144316374712,5.95986240754001,6.55133012741724,6.24313045996587
"WBGene00197715",3,3,3,3.16910556932455,3.15795313434379,3,3,3,3,3,3
"WBGene00000723",6.3565315110358,4.96069606262396,4.58480011500793,3.99630888467278,3.76061992271487,4.35445748300359,5.5464875001769,7.02206098336564,8.14587088532605,8.3554783992466,8.1546591442311
"WBGene00007096",6.61842598242031,6.21726326639682,6.45921017904186,6.40269654356062,6.4979410982391,6.33664282945509,6.62499036869645,6.07457465876873,6.19561689066425,5.99884177316286,6.28059067047739
"WBGene00007097",5.30502552170548,4.39774263290451,3.55631540566309,4.38774607679063,4.10904676567472,4.54414868641932,5.10661674307547,6.93720254740241,8.49017439412368,8.60158789515223,7.70908770478084
"WBGene00001533",4.39565178059006,4.39774263290451,3.95681318122028,3.80419168745601,3.9453264976464,4.54414868641932,4.27333716334716,4.13304252180737,4.52780677739081,4.16562456843814,4.52006695929729
"WBGene00000491",8.45337568481631,8.30774004748548,8.11931490076457,8.15268691471447,8.12519654954705,8.5095192556848,8.50479886243579,8.56285136124456,8.10960265493642,8.01068992189969,7.96059372974163
"WBGene00007099",10.6030193369405,10.6811362499511,10.734467178491,10.8048185795202,10.78380390543,10.906536268534,10.8892422513893,10.913487414794,10.9335141355127,10.9647222737726,10.7595338286065
"WBGene00006932",11.3588804591196,11.3153574872245,11.4068999066018,11.5117732887377,11.4873159925272,11.6254289938633,11.5616974591945,11.6325584649222,11.6624654052137,11.6475763421057,11.3751147235556
"WBGene00000814",11.2118699254752,11.1315503751143,11.1563608912204,11.2226534185983,11.0731531254472,11.1084816976057,11.2158387884393,11.1944524264762,11.2603298564358,11.2540763915557,11.0197977229085
"WBGene00015001",8.57354205232101,8.33496565970739,8.1144244282112,8.36347480690956,8.05160944732679,8.21143110937686,7.89230896619703,8.28725328654315,8.39005248869744,8.51598084557656,8.12921680137978
"WBGene00194700",3.49341008903895,3.32368308693838,3.66733444888452,3.58250280676417,3,3.564699916508,3,3.33931676178847,3.58713363644878,3.69746386113725,3.3208571957142
"WBGene00015002",7.24350252629738,6.59298874081655,5.65379926296246,4.85263217138604,4.18442875379729,5.04054841001848,6.15586302463694,8.45361314624056,10.2304618984789,10.507006513493,9.55311525137422
"WBGene00199321",3,3,3,3,3,3.16320237796913,3,3,3,3,3
"WBGene00000403",13.2886473927904,13.0531395438901,12.9166020868801,12.8662525573807,12.7331348631249,12.6599390501207,12.6594361857035,12.6914510935981,12.7935826094551,12.8831873746933,12.7232021676011
"WBGene00015004",3.74812983243811,3.70381281016477,3,3.16910556932455,3.30030668676606,3.30980472653341,3.43754749637752,4.04308490284354,4.86269344634414,5.41995974420057,4.64021188465647
"WBGene00015005",5.77498341934279,5.05103057410596,5.02087804772183,5.31601776888179,5.1606273450608,5.75466475589378,5.4869464524091,5.01767569183506,5.04932380158064,5.1437472103244,4.95021961827649
"WBGene00044394",5.4556108386117,5.86553043184941,6.26104713409215,6.35088311684547,6.35843090363926,6.54343724901717,6.05696543430761,6.02843599931744,5.62015365715771,5.33363414388581,5.16575592076106
"WBGene00197204",3,3,3,3,3,3,3,3,3,3,3
"WBGene00001919",3,3,3.16043903355889,3.80419168745601,3.15795313434379,3.44287437137638,3.1610492818656,3,3,3,3
"WBGene00007110",10.8718656379991,10.9534303271774,10.8977807937123,10.9115021609888,10.8219263323618,10.7911400251109,10.7772025823208,10.7727707369822,10.6964701769505,10.6478192310198,10.6056898147661
"WBGene00007111",11.4993480490951,11.4920412576007,11.5007746585532,11.5191276371693,11.4216550184253,11.4418404233231,11.3751890108523,11.4189380765159,11.4142833733159,11.3458341071821,11.4556205460671
"WBGene00007112",11.2387346141202,11.2772673883967,11.1073590202408,10.9344196833896,10.8100744412828,10.5113690748704,10.145056356807,9.95458001573549,9.63031932347824,9.79281517946474,10.2869934435448
"WBGene00001019",11.3642461768926,11.2672912256114,11.2501949761283,11.1935320912017,11.1177042018418,11.0613919486773,11.0693944487275,11.0409644180728,11.1421898435123,11.2903372236777,11.2095818064495
"WBGene00007113",10.5949276813141,10.6095508460963,10.5520877644108,10.6374029236802,10.4684210962909,10.5301869066342,10.4411212712922,10.5500200764478,10.2567594262022,10.1836708478826,10.255592098582
"WBGene00007114",7.63148235168833,7.82222454684357,7.72928637903873,7.82575831557886,7.73174697286348,7.67541179943015,7.68273672762993,7.68142836407566,8.00630083429825,7.74408247573017,7.76301900231622
"WBGene00044290",5.1807823194473,5.21631886041362,5.10217486125171,5.35160556566634,5.63381212587077,5.92359563409474,5.65866895575711,6.2047473607226,6.19561689066425,6.38959244796929,6.31710277620582
