"","X22hpl","X23hpl","X24hpl","X25hpl","X26hpl","X27hpl","X28hpl","X29hpl","X30hpl","X31hpl","X32hpl"
"WBGene00007063",7.69203965535621,7.83264196896212,7.71383914830568,7.97033747042629,8.19535586693432,8.48726937218304,8.58360022538355,8.65076459058093,8.45768442176778,8.42005653052812,8.47357452732905
"WBGene00007064",9.25935860869492,9.20462048263754,9.58577667797525,9.84540204137314,9.72248754496698,9.80668067280762,9.97695622113606,10.2336586078902,10.2775025889173,10.2907197386805,10.1464163830551
"WBGene00044165",5.49214902450854,5.79936235993909,6.1939701664144,6.11251330958726,6.46055282874924,6.87445922746683,6.62261249599312,6.71497019759299,6.82428136318101,6.51414741297097,6.00021894399458
"WBGene00199694",3.33839777487041,3.16563508997709,3,3.31815838909983,3.31511524069868,3.16895198938724,3.16400958654774,3.30786494166966,3.82122542729891,3.15647768547457,4.02659960100017
"WBGene00201913",3,3,3,3,3,3,3,3,3.17353388312826,3,3
"WBGene00007065",7.43425651068157,7.50951171026055,7.50416688783434,7.46572013151893,7.74823412497534,7.45922275501085,7.72266793660363,7.69253181140772,7.78586858403108,7.96553191419948,7.8256124595801
"WBGene00003525",4.44269711945056,4.06690728961526,6.55835296660819,7.85821827783995,8.98016829341379,9.66196187772517,10.0832502315285,9.68217024445394,8.46187436365726,7.32318242926619,6.04623232348822
"WBGene00007067",6.78879585783668,6.60794522632586,6.08642695117555,6.13294675748129,6.07816342078543,6.66433514501816,7.1485384568073,7.67919860141689,7.64557062740596,7.19368950750964,7.1686762880196
"WBGene00174183",3,3,3,3,3,3,3,3,3,3,3
"WBGene00007069",3.94503139821844,3.31419704603459,3.83901747574364,3.69318151951643,3.573589804273,3.80359825408231,3.78440343424534,3.96458169274007,3.92198760519622,3.75478129101895,3.17587855125907
"WBGene00005532",4.21521777079051,4.06690728961526,3.72888662560013,3.7992648851194,4.30139224873966,3.99561626855841,4.14010235474059,3.96458169274007,4.3413096769127,3.93847477188973,3.72094433470917
"WBGene00004964",3.7319470876845,3.68553535740812,3.3367904691889,3.69318151951643,3,3.45704214382219,3,3.44022041160145,3.82122542729891,3.93847477188973,4.27868257991905
"WBGene00195634",3,3,3,3,3,3,3,3,3,3.15647768547457,3.17587855125907
"WBGene00007070",9.81788861276761,9.42285254146614,9.21648060871326,9.14622491607533,9.38175874217779,9.51095142151757,9.86816306663586,9.81459008254639,9.77501395703645,9.4416489896359,9.2443023673545
"WBGene00000024",3,3,3,3,3,3,3,3,3,3,3
"WBGene00004098",3,3,3,3,3,3,3,3,3.17353388312826,3.29763194451104,3
"WBGene00007071",12.7539642628277,12.8324862318322,12.7807477300827,12.6388408384461,12.6252024037864,12.5539502496443,12.6861341484507,12.8170927531074,13.0074385007164,13.1660595381263,13.1398013495885
"WBGene00000724",4.37078359580357,4.77955168577856,4.36606362880596,3.57867417432227,3.79271634909554,3.69706879995025,3.97318751287054,4.27932057506432,4.54461665225162,4.1764433624237,3.93173206665302
"WBGene00007072",7.22585799545617,7.06126692793167,7.32649616347377,7.12168528155366,7.56695671054635,8.33128663432642,8.98288118253769,9.21923029440009,9.11649922644956,8.64480243134338,8.02835325793782
"WBGene00007073",9.87424032615452,9.39183541404968,8.72246420277373,8.23421780656619,8.25190372160259,9.05743981741262,10.1048629803216,10.8279368468339,11.2770130337991,11.3029500603484,10.975088667414
"WBGene00047233",3,3,3,3,3,3,3,3,3,3,3
"WBGene00006428",6.41262374633399,6.50348581909974,5.8700000344,5.53888382662566,5.64348383146944,5.48463721900791,5.53999411943924,5.63998152889405,5.83496384622935,5.95590699859765,6.2760040198574
"WBGene00166862",3,3,3,3,3,3,3,3,3,3,3
