position,strain,condition,M2exit,M3entry,M3exit,phenotype,valid,phen descrip,well
1,Pqua-1,ethanol,0,0,0,0,0,,outFocus
2,Pqua-1,ethanol,0,0,0,0,0,,outFocus
3,Pqua-1,ethanol,0,0,0,0,0,,outFocus
4,Pqua-1,ethanol,0,0,0,0,0,,outFocus
5,Pqua-1,ethanol,0,0,0,0,0,,outFocus
6,Pqua-1,ethanol,17,65,78,0,1,,ok
7,Pqua-1,ethanol,0,0,0,0,0,,outFocus
8,Pqua-1,ethanol,18,65,78,0,1,,ok
9,Pqua-1,ethanol,0,0,0,0,0,,outFocus
10,Pqua-1,ethanol,20,70,84,0,1,,ok
11,Pqua-1,ethanol,0,0,0,0,0,,outFocus
12,Pqua-1,ethanol,0,0,0,0,0,,outFocus
13,Pqua-1,ethanol,0,0,0,0,0,,outFocus
14,Pqua-1,ethanol,11,54,65,0,1,,ok
15,Pqua-1,ethanol,17,64,77,0,1,,ok
16,Pqua-1,ethanol,14,61,75,0,1,,ok
17,Pqua-1,ethanol,13,63,76,0,1,,ok
18,Pqua-1,ethanol,0,0,0,0,0,,empty
19,Pqua-1,ethanol,28,76,91,0,1,,ok
20,Pqua-1,ethanol,0,0,0,0,0,,outFocus
21,Pqua-1,ethanol,33,100,0,0,0,,ok
22,Pqua-1,ethanol,9,53,66,0,1,,ok
23,Pqua-1,ethanol,16,60,73,0,1,,ok
24,Pqua-1,ethanol,15,62,74,0,1,,ok
25,Pqua-1,ethanol,0,0,0,0,0,,outFocus
26,Pqua-1,ethanol,9,54,67,0,1,,ok
27,Pqua-1,ethanol,19,70,83,0,1,,ok
28,Pqua-1,ethanol,22,64,77,0,1,,ok
29,Pqua-1,ethanol,23,74,87,0,1,,ok
30,Pqua-1,ethanol,16,63,77,0,1,,ok
31,Pgrh-1,auxin,,,,,0,,ok
32,Pgrh-1,auxin,,,,,0,,ok
33,Pgrh-1,auxin,,,,,0,,empty
34,Pgrh-1,auxin,,,,,0,,ok
35,Pgrh-1,auxin,,,,,0,,ok
36,Pqua-1,auxin,12,61,0,82,1,L3 phenotype,ok
37,Pqua-1,auxin,24,0,0,0,1,long L3,ok
38,Pqua-1,auxin,20,0,0,0,1,long L3,ok
39,Pqua-1,auxin,0,0,0,0,0,L2 phenotype,ok
40,Pqua-1,auxin,11,55,0,73,1,L3 phenotype,ok
41,Pqua-1,auxin,0,0,0,0,0,L2 phenotype,ok
42,Pqua-1,auxin,23,87,0,0,1,long L3,ok
43,Pqua-1,auxin,20,75,0,95,1,L3 phenotype,ok
44,Pqua-1,auxin,0,0,0,0,0,,2 worms
45,Pqua-1,auxin,11,55,0,77,1,L3 phenotype,ok
46,Pqua-1,auxin,9,51,0,69,1,L3 phenotype,ok
47,Pqua-1,auxin,24,0,0,0,1,long L3,ok
48,Pqua-1,auxin,14,65,0,82,1,L3 phenotype,ok
49,Pqua-1,auxin,31,93,0,0,1,long L3,ok
50,Pqua-1,auxin,16,68,0,85,1,L3 phenotype,ok
51,Pqua-1,auxin,10,57,0,75,1,L3 phenotype,ok
52,Pqua-1,auxin,0,0,0,0,0,L2 phenotype,ok
53,Pqua-1,auxin,21,70,0,0,1,long L3,ok
54,Pqua-1,auxin,24,86,0,0,1,long L3,ok
55,Pqua-1,auxin,18,80,0,0,1,long L3,ok
56,Pqua-1,auxin,23,0,0,0,1,long L3,ok
57,Pqua-1,auxin,20,72,0,87,1,L3 phenotype,ok
58,Pqua-1,auxin,14,59,0,75,1,L3 phenotype,ok
59,Pqua-1,auxin,18,83,0,0,1,long L3,ok
60,Pqua-1,auxin,11,55,0,74,1,L3 phenotype,ok
61,Pqua-1,auxin,16,62,0,84,1,L3 phenotype,ok
62,Pqua-1,auxin,19,76,0,0,1,long L3,ok
63,Pqua-1,auxin,12,52,0,70,1,L3 phenotype,ok
64,Pqua-1,auxin,7,51,0,70,1,L3 phenotype,ok
65,Pqua-1,auxin,14,59,0,86,1,L3 phenotype,ok
