position,strain,condition,M2exit,M3entry,M3exit,phenotype,valid,phen descrip,well
1,col-41,ethanol,0,0,0,0,0,,empty
2,col-41,ethanol,14,60,73,0,1,,ok
3,col-41,ethanol,15,62,75,0,1,,ok
4,col-41,ethanol,21,69,81,0,1,,ok
5,col-41,ethanol,0,0,0,0,0,,empty
6,col-41,ethanol,0,0,0,0,0,,empty
7,col-41,ethanol,0,0,0,0,0,,empty
8,col-41,ethanol,22,73,87,0,1,,ok
9,col-41,ethanol,18,64,77,0,1,,ok
10,col-41,ethanol,24,72,86,0,1,,ok
11,col-41,ethanol,0,0,0,0,0,,empty
12,col-41,ethanol,0,0,0,0,0,,empty
13,col-41,ethanol,0,0,0,0,0,,empty
14,col-41,ethanol,0,0,0,0,0,,empty
15,col-41,ethanol,0,0,0,0,0,,empty
16,col-41,ethanol,0,0,0,0,0,,outFocus
17,col-41,ethanol,0,0,0,0,0,,empty
18,col-41,ethanol,0,0,0,0,0,,empty
19,col-41,ethanol,0,0,0,0,0,,empty
20,col-41,ethanol,0,0,0,0,0,,2 worms
21,col-41,ethanol,0,0,0,0,0,,2 worms
22,col-41,ethanol,27,79,94,0,1,,ok
23,col-41,ethanol,0,0,0,0,0,,empty
24,col-41,ethanol,0,0,0,0,0,,empty
25,col-41,ethanol,19,68,82,0,1,,ok
26,col-41,ethanol,21,70,85,0,1,,ok
27,col-41,ethanol,0,0,0,0,0,,empty
28,col-41,ethanol,19,67,80,0,1,,ok
29,col-41,ethanol,20,73,89,0,1,,ok
30,col-41,ethanol,21,70,88,0,1,,ok
31,col-146,ethanol,12,54,68,0,1,,ok
32,col-146,ethanol,21,68,82,0,1,,ok
33,col-146,ethanol,11,53,66,0,1,,ok
34,col-146,ethanol,0,0,0,0,0,,sick
35,col-146,ethanol,20,68,83,0,1,,ok
36,col-146,ethanol,17,64,77,0,1,,ok
37,col-146,ethanol,16,62,74,0,1,,ok
38,col-146,ethanol,17,62,76,0,1,,ok
39,col-146,ethanol,0,0,0,0,0,,2 worms
40,col-146,ethanol,14,59,74,0,1,,ok
41,col-146,ethanol,21,73,86,0,1,,ok
42,col-146,ethanol,20,68,83,0,1,,ok
43,col-146,ethanol,20,72,88,0,1,,ok
44,col-146,ethanol,14,56,70,0,1,,ok
45,col-146,ethanol,25,88,101,0,1,M3exit outside,ok
46,col-146,ethanol,23,70,88,0,1,,ok
47,col-146,ethanol,9,49,63,0,1,,ok
48,col-146,ethanol,22,72,86,0,1,,ok
49,col-146,ethanol,22,64,78,0,1,,ok
50,col-146,ethanol,16,60,75,0,1,,ok
51,col-146,ethanol,11,57,69,0,1,,ok
52,col-146,ethanol,0,0,0,0,0,,empty
53,col-146,ethanol,0,0,0,0,0,,2 worms
54,col-146,ethanol,0,0,0,0,0,,2 worms 
55,col-146,ethanol,5,43,58,0,1,,ok
56,col-146,ethanol,17,60,74,0,1,,ok
57,col-146,ethanol,13,53,67,0,1,,ok
58,col-146,ethanol,0,0,0,0,0,,empty
59,col-146,ethanol,0,0,0,0,0,,empty
60,col-146,ethanol,0,0,0,0,0,,empty
61,col-41,auxin,20,83,0,0,1,long L3,
62,col-41,auxin,21,91,0,0,1,long L3,
63,col-41,auxin,37,0,0,0,1,long L3,
64,col-41,auxin,26,0,0,0,1,long L3,
65,col-41,auxin,18,69,0,97,1,L3 phenotype,
66,col-41,auxin,0,0,0,0,0,L2 phenotype,
67,col-41,auxin,23,85,0,0,1,long L3,
68,col-41,auxin,0,0,0,0,0,,outFocus
69,col-41,auxin,15,63,0,76,1,L3 phenotype,
70,col-41,auxin,0,0,0,0,0,L2 phenotype,
71,col-41,auxin,0,0,0,0,0,L2 phenotype,
72,col-41,auxin,21,87,0,0,1,long L3,
73,col-41,auxin,25,0,0,0,1,long L3,
74,col-41,auxin,0,0,0,0,0,,outFocus
75,col-41,auxin,26,0,0,0,1,long L3,
76,col-41,auxin,0,0,0,0,0,,outFocus
77,col-41,auxin,17,63,0,0,1,long L3,
78,col-41,auxin,0,0,0,0,0,,empty
79,col-41,auxin,28,81,0,0,1,long L3,
80,col-41,auxin,19,62,0,84,1,L3 phenotype,
81,col-41,auxin,0,0,0,0,0,,2 worms
82,col-41,auxin,17,61,0,82,1,L3 phenotype,
83,col-41,auxin,12,60,0,75,1,L3 phenotype,
84,col-41,auxin,13,64,0,89,1,L3 phenotype,
85,col-41,auxin,0,0,0,0,0,,empty
86,col-41,auxin,22,0,0,0,1,long L3,
87,col-41,auxin,23,0,0,0,1,long L3,
88,col-41,auxin,0,0,0,0,0,,empty
89,col-41,auxin,0,0,0,0,0,,empty
90,col-41,auxin,21,0,0,0,1,long L3,
91,col-146,auxin,0,0,0,0,0,,2 worms
92,col-146,auxin,0,0,0,0,0,L2 phenotype,
93,col-146,auxin,0,0,0,0,0,,empty
94,col-146,auxin,0,0,0,0,0,,empty
95,col-146,auxin,0,0,0,0,0,L2 phenotype,
96,col-146,auxin,22,0,0,0,1,long L3,
97,col-146,auxin,28,85,0,0,1,long L3,
98,col-146,auxin,13,59,0,78,1,L3 phenotype,
99,col-146,auxin,24,0,0,0,1,long L3,
100,col-146,auxin,12,65,0,85,1,L3 phenotype,
101,col-146,auxin,25,0,0,0,1,long L3,
102,col-146,auxin,26,0,0,0,1,long L3,
103,col-146,auxin,43,0,0,0,1,long L3,
104,col-146,auxin,0,0,0,0,0,,empty
105,col-146,auxin,0,0,0,0,0,L2 phenotype,
106,col-146,auxin,0,0,0,0,0,L2 phenotype,
107,col-146,auxin,28,80,0,0,1,long L3,
108,col-146,auxin,0,0,0,0,0,,
109,col-146,auxin,11,55,0,74,1,L3 phenotype,
110,col-146,auxin,24,0,0,0,1,long L3,
111,col-146,auxin,23,92,0,0,1,long L3,
112,col-146,auxin,30,0,0,0,1,long L3,
113,col-146,auxin,0,0,0,0,0,L2 phenotype,
114,col-146,auxin,23,93,0,0,1,long L3,
115,col-146,auxin,18,63,0,86,1,L3 phenotype,
116,col-146,auxin,15,60,0,93,1,L3 phenotype,
117,col-146,auxin,0,0,0,0,0,L2 phenotype,
118,col-146,auxin,0,0,0,0,0,,empty
119,col-146,auxin,10,54,0,75,1,L3 phenotype,
120,col-146,auxin,20,69,0,0,1,long L3,
