position,strain,condition,M2exit,M3entry,M3exit,phenotype,valid,phen descrip,well
1,grh-1,ethanol,12,60,73,0,1,,
2,grh-1,ethanol,25,73,88,0,1,,
3,grh-1,ethanol,25,75,90,0,1,,
4,grh-1,ethanol,12,57,73,0,1,,
5,grh-1,ethanol,21,70,85,0,1,,
6,grh-1,ethanol,0,0,0,0,0,,
7,grh-1,ethanol,13,63,76,0,1,,
8,grh-1,ethanol,37,0,0,0,0,,
9,grh-1,ethanol,0,0,0,0,0,,
10,grh-1,ethanol,0,0,0,0,0,,
11,grh-1,ethanol,15,63,75,0,1,,
12,grh-1,ethanol,10,54,69,0,1,,
13,grh-1,ethanol,11,54,68,0,1,,
14,grh-1,ethanol,89,0,0,0,0,sick,
15,grh-1,ethanol,10,54,69,0,1,,
16,grh-1,ethanol,14,61,74,0,1,,
17,grh-1,ethanol,17,88,101,0,1,M3exit after ,
18,grh-1,ethanol,18,76,95,0,1,,
19,grh-1,ethanol,26,76,89,0,1,,
20,grh-1,ethanol,17,68,84,0,1,,
21,grh-1,ethanol,19,67,82,0,1,,
22,grh-1,ethanol,51,0,0,0,0,,
23,grh-1,ethanol,6,48,62,0,1,,
24,grh-1,ethanol,22,70,87,0,1,,
25,grh-1,ethanol,21,68,83,0,1,,
26,grh-1,ethanol,2,42,56,0,1,,
27,grh-1,ethanol,15,62,77,0,1,,
28,grh-1,ethanol,20,70,85,0,1,,
29,grh-1,ethanol,18,63,76,0,1,,
30,qua-1,ethanol,6,50,65,0,1,,
31,qua-1,ethanol,13,58,74,0,1,,
32,qua-1,ethanol,5,48,62,0,1,,
33,qua-1,ethanol,20,84,101,0,1,M3exit after ,
34,qua-1,ethanol,13,58,73,0,1,,
35,qua-1,ethanol,8,54,67,0,1,,
36,qua-1,ethanol,36,76,91,0,1,,
37,qua-1,ethanol,3,44,58,0,1,,
38,qua-1,ethanol,11,60,76,0,1,,
39,qua-1,ethanol,6,51,64,0,1,,
40,qua-1,ethanol,10,54,69,0,1,,
41,qua-1,ethanol,5,47,61,0,1,,
42,qua-1,ethanol,0,0,0,0,0,,
43,qua-1,ethanol,6,50,64,0,1,,
44,qua-1,ethanol,10,60,74,0,1,,
45,qua-1,ethanol,12,61,74,0,1,,
46,qua-1,ethanol,9,51,65,0,1,,
47,qua-1,ethanol,11,53,66,0,1,,
