position,strain,condition,M2exit,M3entry,M3exit,phenotype,valid,phen descrip,well,until
1,grh-1,ethanol,0,0,0,0,0,escaped,,
2,grh-1,ethanol,0,0,0,0,0,escaped,,
3,grh-1,ethanol,0,0,0,0,0,escaped,,
4,grh-1,ethanol,0,0,0,0,0,sick,,
5,grh-1,ethanol,0,0,0,0,0,escaped,,
6,grh-1,ethanol,0,0,0,0,0,escaped,,
7,grh-1,ethanol,0,0,0,0,0,escaped,,
8,grh-1,ethanol,13,58,73,0,1,,,76
9,grh-1,ethanol,0,0,0,0,0,escaped,,
10,grh-1,ethanol,0,0,0,0,0,3worms,,
11,grh-1,ethanol,0,0,0,0,0,escaped,,
12,grh-1,ethanol,0,0,0,0,0,escaped,,
13,grh-1,ethanol,0,0,0,0,0,escaped,,
14,grh-1,ethanol,0,0,0,0,0,escaped,,
15,grh-1,ethanol,0,0,0,0,0,escaped,,
16,grh-1,ethanol,0,0,0,0,0,escaped,,
17,grh-1,ethanol,0,0,0,0,0,escaped,,
18,grh-1,ethanol,9,54,68,0,1,,,100
19,grh-1,ethanol,0,0,0,0,0,escaped,,
20,grh-1,ethanol,0,0,0,0,0,escaped,,
21,grh-1,ethanol,9,51,66,0,1,,,78
22,grh-1,ethanol,0,0,0,0,0,escaped,,
23,grh-1,ethanol,0,0,0,0,0,escaped,,
24,grh-1,ethanol,10,54,67,0,1,,,83
25,grh-1,ethanol,4,47,60,0,1,,,100
26,grh-1,ethanol,8,51,65,0,1,,,89
27,grh-1,ethanol,0,0,0,0,0,2worms,,
28,grh-1,ethanol,0,0,0,0,0,2worms,,
29,grh-1,ethanol,6,45,59,0,1,,,73
30,grh-1,ethanol,0,0,0,0,0,dead,,
31,qua-1,ethanol,12,58,71,0,1,,,
32,qua-1,ethanol,12,53,65,0,1,,,
33,qua-1,ethanol,18,61,73,0,1,,,
34,qua-1,ethanol,10,51,63,0,1,,,
35,qua-1,ethanol,16,62,73,0,1,,,
36,qua-1,ethanol,0,0,0,0,0,M3 after,,
37,qua-1,ethanol,11,57,70,0,1,,,
38,qua-1,ethanol,18,65,77,0,1,,,
39,qua-1,ethanol,18,67,81,0,1,,,
40,qua-1,ethanol,16,60,72,0,1,,,
41,qua-1,ethanol,10,54,64,0,1,,,
42,qua-1,ethanol,23,76,91,0,1,,,
43,qua-1,ethanol,15,63,77,0,1,,,
44,qua-1,ethanol,16,59,72,0,1,,,
45,qua-1,ethanol,0,0,0,0,0,M3 after,,
46,qua-1,ethanol,10,50,63,0,1,,,
47,qua-1,ethanol,17,56,84,0,1,,,
48,qua-1,ethanol,0,0,0,0,0,M3 after,,
49,qua-1,ethanol,12,55,72,0,1,,,
50,qua-1,ethanol,19,65,77,0,1,,,
51,qua-1,ethanol,26,69,83,0,1,,,
52,qua-1,ethanol,17,64,78,0,1,,,
53,qua-1,ethanol,23,58,75,0,1,,,
54,qua-1,ethanol,19,62,82,0,1,,,
55,qua-1,ethanol,17,60,75,0,1,,,
56,qua-1,ethanol,14,58,72,0,1,,,
57,qua-1,ethanol,8,57,66,0,1,,,
58,qua-1,ethanol,13,57,71,0,1,,,
59,qua-1,ethanol,9,55,70,0,1,,,
60,grh-1,auxin,4,47,0,65,1,L3 phenotype,,
61,grh-1,auxin,69,0,0,0,1,longL3,,
62,grh-1,auxin,9,53,0,69,1,L3 phenotype,,
63,grh-1,auxin,11,57,0,71,1,L3 phenotype,,
64,grh-1,auxin,11,56,0,72,1,L3 phenotype,,
65,grh-1,auxin,13,63,0,80,1,L3 phenotype,,
66,grh-1,auxin,0,0,0,0,0,L2 phenotype,,
67,grh-1,auxin,14,62,0,82,1,L3 phenotype,,
68,grh-1,auxin,8,68,0,69,1,L3 phenotype,,
69,grh-1,auxin,10,53,0,73,1,L3 phenotype,,
70,grh-1,auxin,9,54,0,70,1,L3 phenotype,,
71,grh-1,auxin,0,0,0,0,0,2worms,,
72,grh-1,auxin,0,0,0,0,0,escaped,,
73,grh-1,auxin,0,0,0,0,0,L2 phenotype,,
74,grh-1,auxin,14,0,0,0,1,longL3,,
75,grh-1,auxin,21,0,0,0,1,longL3,,
76,grh-1,auxin,25,0,0,0,1,longL3,,
77,grh-1,auxin,7,46,0,65,1,L3 phenotype,,
78,grh-1,auxin,22,0,0,0,1,longL3,,
79,grh-1,auxin,14,0,0,0,1,longL3,,
80,grh-1,auxin,7,51,0,64,1,L3 phenotype,,
81,grh-1,auxin,11,70,0,77,1,L3 phenotype,,
82,grh-1,auxin,0,0,0,0,0,escaped,,
83,grh-1,auxin,5,54,0,65,1,L3 phenotype,,
84,grh-1,auxin,6,52,0,65,1,L3 phenotype,,
85,grh-1,auxin,26,0,0,0,1,longL3,,
86,grh-1,auxin,8,54,0,69,1,L3 phenotype,,
87,grh-1,auxin,13,59,0,74,1,L3 phenotype,,
88,grh-1,auxin,0,0,0,0,0,2worms,,
89,grh-1,auxin,0,0,0,0,0,escaped,,
90,grh-1,auxin,8,47,0,63,1,L3 phenotype,,
91,qua-1,auxin,24,83,0,0,1,longL3,,
92,qua-1,auxin,14,59,0,75,1,L3 phenotype,,
93,qua-1,auxin,14,57,0,76,1,L3 phenotype,,
94,qua-1,auxin,14,57,0,74,1,L3 phenotype,,
95,qua-1,auxin,14,59,0,84,1,L3 phenotype,,
96,qua-1,auxin,25,77,0,97,1,L3 phenotype,,
97,qua-1,auxin,0,0,0,0,0,escaped,,
98,qua-1,auxin,28,0,0,0,1,longL3,,
99,qua-1,auxin,13,62,0,78,1,L3 phenotype,,
100,qua-1,auxin,19,70,0,85,1,L3 phenotype,,
101,qua-1,auxin,20,0,0,0,1,longL3,,
102,qua-1,auxin,16,77,0,93,1,L3 phenotype,,
103,qua-1,auxin,23,0,0,0,1,longL3,,
104,qua-1,auxin,13,56,0,73,1,L3 phenotype,,
105,qua-1,auxin,23,65,0,93,1,L3 phenotype,,
106,qua-1,auxin,14,61,0,74,1,L3 phenotype,,
107,qua-1,auxin,13,58,0,77,1,L3 phenotype,,
108,qua-1,auxin,26,75,0,100,1,L3 phenotype,,
109,qua-1,auxin,22,72,0,98,1,L3 phenotype,,
110,qua-1,auxin,14,61,0,78,1,L3 phenotype,,
111,qua-1,auxin,27,0,0,0,1,longL3,,
112,qua-1,auxin,0,0,0,0,1,longL3,,
113,qua-1,auxin,15,73,0,96,1,L3 phenotype,,
114,qua-1,auxin,31,74,0,99,1,L3 phenotype,,
115,qua-1,auxin,24,0,0,0,1,longL3,,
116,qua-1,auxin,21,71,0,87,1,L3 phenotype,,
