,area,mean,min,max,max-min
1,0.002,466.844,407,570,163
2,0.002,438.771,395,505,110
3,0.002,456.776,411,527,116
4,0.002,451.156,402,513,111
5,0.002,440.604,401,499,98
6,0.002,442.984,402,506,104
7,0.002,440.036,400,493,93
8,0.002,451.318,410,532,122
9,0.002,431.068,402,479,77
10,0.002,429.125,400,465,65
11,0.002,422.193,401,459,58
12,0.002,423.297,395,461,66
13,0.002,417.755,392,453,61
14,0.002,402.922,377,435,58
15,0.002,399.859,367,428,61
16,0.002,405.047,373,443,70
17,0.002,404.734,380,430,50
18,0.002,405.677,387,426,39
19,0.002,414.578,392,444,52
20,0.002,399.215,376,427,51
21,0.002,400.179,381,426,45
22,0.002,415.211,392,441,49
23,0.001,423.911,402,454,52
24,0.002,415.864,393,442,49
25,0.002,427.235,402,467,65
26,0.001,429.205,404,450,46
27,0.002,413.186,391,448,57
28,0.001,423.411,398,456,58
29,0.001,417.442,394,449,55
30,0.002,414.616,393,445,52
31,0.002,401.404,378,427,49
32,0.002,423.623,392,456,64
33,0.001,428.029,406,455,49
34,0.002,419.22,399,471,72
35,0.002,410.959,389,429,40
36,0.001,405.539,390,445,55
37,0.002,406.603,382,437,55
38,0.002,413.605,392,436,44
39,0.002,433.563,412,469,57
40,0.003,414.981,390,440,50
41,0.003,429.208,399,465,66
42,0.001,419.566,399,438,39
43,0.001,405.179,385,433,48
44,0.002,415.005,396,441,45
45,0.001,421.91,400,455,55
46,0.002,408.072,387,442,55
47,0.002,420.182,399,446,47
48,0.001,423.449,401,456,55
49,0.003,417.296,395,445,50
50,0.002,407.302,389,434,45
51,0.002,409.317,383,440,57
52,0.002,416.015,387,448,61
53,0.002,420.006,396,448,52
54,0.002,415.482,394,440,46
55,0.001,408.852,387,428,41
56,0.001,407.787,385,430,45
57,0.001,423.971,402,452,50
58,0.002,423.5,400,448,48
59,0.002,398.524,376,427,51
60,0.002,401.148,381,423,42
61,0.003,402.851,378,431,53
62,0.002,406.795,378,436,58
63,0.003,402.235,382,431,49
64,0.002,408.061,387,427,40
65,0.003,402.185,378,453,75
66,0.002,409.662,392,435,43
67,0.002,420.973,400,454,54
68,0.003,412.205,389,456,67
69,0.002,411.948,387,449,62
70,0.002,419.437,394,482,88
71,0.003,418.046,388,490,102
72,0.002,415.241,394,463,69
73,0.002,425.295,396,485,89
74,0.001,409.869,383,476,93
75,9.14E-04,418.809,384,480,96
76,0.002,422,394,512,118
