position,phenotype,condition,valid,hatch,M1 entry,M1 exit,M2 entry,M2 exit,M3 entry,M3 exit,M4 entry,M4 exit,notes,info
1,HW2814,OP50,,,,,,,,,,,,HW2814 = grh-1 transcriptional
2,HW2814,OP50,,,,,,,,,,,,HW2603 = grh-1 translational
3,HW2814,OP50,,,,,,,,,,,,HW2601 = myrf-1 transcriptional
4,HW2814,OP50,0,0,0,0,0,0,0,0,0,0,outView,
5,HW2814,OP50,,,,,,,,,,,,
6,HW2814,OP50,,,,,,,,,,,,
7,HW2814,OP50,,,,,,,,,,,,
8,HW2814,OP50,0,0,0,0,0,0,0,0,0,0,not hatched,
9,HW2814,OP50,,,,,,,,,,,,
10,HW2814,OP50,,,,,,,,,,,,
11,HW2814,OP50,,,,,,,,,,,,
12,HW2814,OP50,,,,,,,,,,,,
13,HW2814,OP50,0,0,0,0,0,0,0,0,0,0,sick,
14,HW2814,OP50,0,0,0,0,0,0,0,0,0,0,not hatched,
15,HW2814,OP50,,,,,,,,,,,,
16,HW2814,OP50,,,,,,,,,,,,
17,HW2814,OP50,,,,,,,,,,,,
18,HW2814,OP50,0,0,0,0,0,0,0,0,0,0,sick,
19,HW2814,OP50,,,,,,,,,,,,
20,HW2814,OP50,,,,,,,,,,,,
21,HW2814,OP50,,,,,,,,,,,,
22,HW2814,OP50,,,,,,,,,,,,
23,HW2814,OP50,,,,,,,,,,,,
24,HW2814,OP50,,,,,,,,,,,,
25,HW2814,OP50,,,,,,,,,,,,
26,HW2814,OP50,,,,,,,,,,,,
27,HW2814,OP50,,,,,,,,,,,,
28,HW2814,OP50,,,,,,,,,,,,
29,HW2814,OP50,0,0,0,0,0,0,0,0,0,0,sick,
30,HW2814,OP50,,,,,,,,,,,,
31,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
32,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
33,HW2603,OP50,1,9,89,103,148,162,213,229,287,309,ok,
34,HW2603,OP50,1,22,103,115,160,175,236,251,309,331,ok,
35,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
36,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
37,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
38,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
39,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
40,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,2worms,
41,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
42,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
43,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,empty,
44,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
45,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
46,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
47,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
48,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
49,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,2worms,
50,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
51,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
52,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
53,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
54,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
55,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
56,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
57,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
58,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
59,HW2603,OP50,0,0,0,0,0,0,0,0,0,0,escaped,
60,HW2603,OP50,1,29,110,122,171,184,236,251,305,328,ok,
61,HW2601,OP50,,,,,,,,,,,,
62,HW2601,OP50,,,,,,,,,,,,
63,HW2601,OP50,,,,,,,,,,,,
64,HW2601,OP50,,,,,,,,,,,,
65,HW2601,OP50,,,,,,,,,,,,
66,HW2601,OP50,,,,,,,,,,,,
67,HW2601,OP50,,,,,,,,,,,,
68,HW2601,OP50,,,,,,,,,,,,
69,HW2601,OP50,,,,,,,,,,,,
70,HW2601,OP50,,,,,,,,,,,,
71,HW2601,OP50,,,,,,,,,,,,
72,HW2601,OP50,,,,,,,,,,,,
73,HW2601,OP50,,,,,,,,,,,,
74,HW2601,OP50,,,,,,,,,,,,
75,HW2601,OP50,,,,,,,,,,,,
76,HW2601,OP50,,,,,,,,,,,,
77,HW2601,OP50,,,,,,,,,,,,
78,HW2601,OP50,,,,,,,,,,,,
79,HW2601,OP50,,,,,,,,,,,,
80,HW2601,OP50,,,,,,,,,,,,
81,HW2601,OP50,,,,,,,,,,,,
82,HW2601,OP50,,,,,,,,,,,,
83,HW2601,OP50,,,,,,,,,,,,
84,HW2601,OP50,,,,,,,,,,,,
85,HW2601,OP50,,,,,,,,,,,,
86,HW2601,OP50,,,,,,,,,,,,
87,HW2601,OP50,,,,,,,,,,,,
88,HW2601,OP50,,,,,,,,,,,,
89,HW2601,OP50,,,,,,,,,,,,
90,HW2601,OP50,,,,,,,,,,,,
