"","WBid","gene_name","transcript_name","type","osc","Amplitude","Phase","delta"
"1","WBGene00000003","aat-2","F07C3.7","Coding_transcript",TRUE,0.86350587374771,123.338664904815,"up"
"2","WBGene00000005","aat-4","T13A10.10","Coding_transcript",TRUE,1.41604457993007,276.301149361287,"up"
"3","WBGene00000009","aat-8","F28F9.4","Coding_transcript",TRUE,1.05815874162787,316.23027852053,"up"
"4","WBGene00000027","abu-4","Y5H2A.3","Coding_transcript",TRUE,1.17209941137216,37.0967140001753,"up"
"5","WBGene00000029","abu-6","C03A7.7","Coding_transcript",TRUE,1.66625339367222,51.446017667314,"down"
"6","WBGene00000039","acn-1","C42D8.5","Coding_transcript",TRUE,2.53641654869688,262.928547236973,"up"
"7","WBGene00000082","adt-1","C02B4.1","Coding_transcript",TRUE,3.23927764814464,0.0767982101103994,"down"
"8","WBGene00000133","amt-1","C05E11.4","Coding_transcript",TRUE,2.06814284611917,137.870528475011,"down"
"9","WBGene00000150","apm-1","F55A12.7","Coding_transcript",FALSE,NA,NA,"up"
"10","WBGene00000246","bcc-1","M7.3","Coding_transcript",TRUE,1.50196585745541,156.207647674969,"up"
"11","WBGene00000255","bli-5","F45G2.5","Coding_transcript",TRUE,1.90874421390918,0.440970774509075,"down"
"12","WBGene00000272","bro-1","F56A3.5","Coding_transcript",TRUE,1.55745629034761,220.003425746531,"up"
"13","WBGene00000399","cdh-7","R05H10.6","Coding_transcript",TRUE,3.32018415174683,202.891304145266,"up"
"14","WBGene00000402","cdh-10","C45G7.5","Coding_transcript",TRUE,2.5587067081536,217.52999917941,"up"
"15","WBGene00000425","ced-11","ZK512.3","Coding_transcript",TRUE,1.82619414760535,16.5331047152618,"down"
"16","WBGene00000557","cnc-3","R09B5.8","Coding_transcript",TRUE,2.67228416052069,259.680798617047,"up"
"17","WBGene00000601","col-12","F15H10.1","Coding_transcript",TRUE,3.41830960064492,57.859976831981,"down"
"18","WBGene00000610","col-33","F36A4.6","Coding_transcript",TRUE,3.52643790287318,354.376072233428,"down"
"19","WBGene00000611","col-34","F36A4.10","Coding_transcript",TRUE,1.59338847272837,357.558197177031,"down"
"20","WBGene00000618","col-41","T10B10.1","Coding_transcript",TRUE,3.51493499645014,334.610556413546,"down"
"21","WBGene00000620","col-43","ZC513.8","Coding_transcript",TRUE,2.84792385906968,296.708725199476,"up"
"22","WBGene00000625","col-48","Y54E10BL.2","Coding_transcript",TRUE,3.32284863277851,3.34177780905787,"down"
"23","WBGene00000637","col-61","C01H6.1","Coding_transcript",TRUE,2.11946730215084,23.1285954690986,"down"
"24","WBGene00000655","col-79","C09G5.3","Coding_transcript",TRUE,1.82685577671454,291.861349850747,"down"
"25","WBGene00000665","col-90","C29E4.1","Coding_transcript",TRUE,3.27389315283036,327.175813086217,"down"
"26","WBGene00000672","col-97","ZK1010.7","Coding_transcript",TRUE,3.50906585775145,14.7417146662685,"down"
"27","WBGene00000683","col-109","Y38C1BA.3","Coding_transcript",TRUE,3.45716122583626,3.40178192232018,"down"
"28","WBGene00000685","col-111","F29B9.9","Coding_transcript",TRUE,3.4805015893624,330.047623902088,"down"
"29","WBGene00000689","col-115","Y42H9B.1","Coding_transcript",TRUE,3.76699077547384,22.1268355344203,"down"
"30","WBGene00000697","col-123","W08D2.6","Coding_transcript",TRUE,1.44087407272195,194.262455603157,"down"
"31","WBGene00000704","col-130","F08G5.4","Coding_transcript",TRUE,3.41561011685832,50.0528240921274,"down"
"32","WBGene00000705","col-131","C39E9.3","Coding_transcript",TRUE,3.3775625094381,320.650867346681,"down"
"33","WBGene00000707","col-133","F52B11.4","Coding_transcript",TRUE,3.15723308043879,52.2721214107793,"down"
"34","WBGene00000719","col-146","T06E4.6","Coding_transcript",TRUE,3.91721598081232,96.7667179944826,"down"
"35","WBGene00000726","col-153","F17C11.3","Coding_transcript",TRUE,2.81851709545444,269.483973322463,"up"
"36","WBGene00000733","col-160","F57B1.4","Coding_transcript",TRUE,3.43524553660705,110.454619582946,"up"
"37","WBGene00000734","col-161","C50B6.4","Coding_transcript",TRUE,3.64014364507613,42.9517147068808,"down"
"38","WBGene00000735","col-162","Y2H9A.3","Coding_transcript",TRUE,3.6322856561894,29.8670589840099,"down"
"39","WBGene00000746","col-173","F41C6.5","Coding_transcript",TRUE,3.45067990722109,326.894568477295,"down"
"40","WBGene00000753","col-180","C44C10.1","Coding_transcript",TRUE,2.08085338167954,54.6287219739789,"down"
"41","WBGene00000776","cpl-1","T03E6.7","Coding_transcript",TRUE,1.63830896995233,294.202974707227,"up"
"42","WBGene00000780","cpn-4","F49D11.8","Coding_transcript",FALSE,NA,NA,"up"
"43","WBGene00000786","cpr-6","C25B8.3","Coding_transcript",TRUE,2.0739971944343,309.176433536295,"up"
"44","WBGene00000788","cpz-1","F32B5.8","Coding_transcript",TRUE,2.36676789282229,309.337680860291,"up"
"45","WBGene00000902","daf-6","F31F6.5","Coding_transcript",TRUE,2.25045427945371,283.591137088639,"down"
"46","WBGene00000905","daf-9","T13C5.1","Coding_transcript",FALSE,NA,NA,"down"
"47","WBGene00000928","dao-2","M03A1.7","Coding_transcript",TRUE,3.49470841726451,235.494382086406,"up"
"48","WBGene00000963","dhp-1","R06C7.3","Coding_transcript",FALSE,NA,NA,"down"
"49","WBGene00000990","dhs-27","C04F6.5","Coding_transcript",TRUE,2.12369130456899,185.433558705712,"up"
"50","WBGene00000992","dhs-29","F27D9.6","Coding_transcript",TRUE,1.35721180152975,213.634135841473,"up"
"51","WBGene00001045","dnj-27","Y47H9C.5","Coding_transcript",TRUE,1.20275354983233,231.79062647591,"up"
"52","WBGene00001063","dpy-1","M01E10.2","Coding_transcript",TRUE,3.43135901085969,354.760282239954,"down"
"53","WBGene00001067","dpy-5","F27C1.8","Coding_transcript",TRUE,3.10985558971264,327.815690190233,"down"
"54","WBGene00001077","dpy-18","Y47D3B.10","Coding_transcript",TRUE,0.678398895014639,264.857933850275,"up"
"55","WBGene00001156","ech-7","Y105E8A.4","Coding_transcript",TRUE,0.551417967199771,219.92045212735,"down"
"56","WBGene00001163","efn-2","C43F9.8","Coding_transcript",FALSE,NA,NA,"up"
"57","WBGene00001170","egl-1","F23B12.9","Coding_transcript",FALSE,NA,NA,"up"
"58","WBGene00001251","elt-3","K02B9.4","Coding_transcript",TRUE,1.1939398020151,156.194822747926,"up"
"59","WBGene00001387","far-3","F15B9.1","Coding_transcript",FALSE,NA,NA,"up"
"60","WBGene00001399","fat-7","F10D2.9","Coding_transcript",TRUE,1.34041485135325,248.902381231801,"up"
"61","WBGene00001428","fkb-3","C05C8.3","Coding_transcript",TRUE,1.47932382546466,294.77545373646,"down"
"62","WBGene00001432","fkb-7","B0511.1","Coding_transcript",TRUE,1.73840781487461,209.100783250318,"up"
"63","WBGene00001477","fmo-2","K08C7.5","Coding_transcript",FALSE,NA,NA,"up"
"64","WBGene00001575","gei-18","Y37A1B.15","Coding_transcript",TRUE,0.667559788592155,274.047985418168,"up"
"65","WBGene00001592","glc-2","F25F8.2","Coding_transcript",TRUE,1.35300392822403,162.945127770361,"up"
"66","WBGene00001608","","R07B1.8","Coding_transcript",TRUE,1.65146346553903,65.4710701634699,"down"
"67","WBGene00001615","glr-4","C06A8.9","Coding_transcript",TRUE,0.59606300620243,96.7548316446534,"down"
"68","WBGene00001690","grd-1","R08B4.1","Coding_transcript",TRUE,3.02565476546329,279.015287069144,"up"
"69","WBGene00001691","grd-2","F46B3.5","Coding_transcript",TRUE,3.55539672200383,305.641267091592,"up"
"70","WBGene00001692","grd-3","W05E7.1","Coding_transcript",TRUE,2.39900654063887,110.712928009692,"up"
"71","WBGene00001694","grd-5","F41E6.2","Coding_transcript",TRUE,2.30506339921496,2.71133575369405,"down"
"72","WBGene00001700","grd-11","K02E2.2","Coding_transcript",TRUE,2.48209875513647,350.768927047067,"down"
"73","WBGene00001703","grd-14","T01B10.2","Coding_transcript",TRUE,3.6773361240337,17.8363506760961,"down"
"74","WBGene00001707","grh-1","Y48G8AR.1","Coding_transcript",TRUE,1.88251995323267,269.188729893744,"up"
"75","WBGene00001714","grl-5","Y47D7A.5","Coding_transcript",TRUE,4.07633109026709,311.94340092297,"down"
"76","WBGene00001716","grl-7","T02E9.2","Coding_transcript",TRUE,3.93894590959459,303.169186924963,"down"
"77","WBGene00001719","grl-10","C26F1.5","Coding_transcript",TRUE,2.72189991941396,276.456064583445,"up"
"78","WBGene00001753","gst-5","R03D7.6","Coding_transcript",FALSE,NA,NA,"up"
"79","WBGene00001755","gst-7","F11G11.2","Coding_transcript",FALSE,NA,NA,"up"
"80","WBGene00001820","ham-1","F53B2.6","Coding_transcript",TRUE,1.23736290038817,108.988883333384,"up"
"81","WBGene00001984","hog-1","W06B11.4","Coding_transcript",TRUE,1.46181624405607,322.227378135641,"down"
