,total,all hits,osc,non osc,up ,down
core matrisome - collagens,4,,,,,
core matrisome - ECM glycoproteins,35,5,5,,4,1
core matrisome - proteoglycans,3,,,,,
matrisome-associated - ECM-affiliated,290,12,10,2,5,7
matrisome-associated - ECM regulators,97,10,10,,7,3
matrisome-associated - secreted factors,38,1,1,,,1
nematode-specific core matrisome - collagens,4,,,,,
nematode-specific core matrisome - cuticins,12,1,1,,,1
nematode-specific core matrisome - cuticular collagens,173,27,27,,4,23
nematode-specific core matrisome - proteoglycans,7,,,,,
nematode-specific matrisome associated - ECM-affiliated,11,3,3,,2,1
nematode-specific matrisome associated - ECM regulators,31,8,8,,3,5
nematode-specific matrisome associated - secreted factors,14,5,5,,3,2
