width	sample4p	sample4m	sample5p	sample5m	sample6p	sample6m	sample7p	sample7m	sample8p	sample8m	sample9p	sample9m	sample10p	sample10m	sample11p	sample11m	sample12p	sample12m	sample13p	sample13m	sample14p	sample14m	sample15p	sample15m
WBGene00007063	1284	334	303	333	315	366	240	366	387	431	378	421	334	449	309	406	294	374	521	277	288	339	317	355	241
WBGene00200402	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
WBGene00007064	1301	557	566	584	702	617	356	587	630	685	753	862	919	893	929	926	1023	881	1136	929	863	862	557	700	435
WBGene00044165	666	51	58	46	66	62	36	70	66	57	76	79	83	87	62	78	69	59	94	64	48	64	43	54	36
WBGene00195865	72	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00197051	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199694	77	1	1	3	1	4	1	6	5	2	3	7	4	4	5	4	5	3	4	5	2	1	5	2	3
WBGene00199940	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201913	61	2	0	1	0	2	0	0	0	1	1	1	2	0	3	1	3	2	2	0	1	0	0	1	0
WBGene00007065	853	227	230	205	185	203	109	251	212	228	218	259	216	242	209	242	252	228	300	190	200	222	213	234	210
WBGene00003525	1035	605	592	698	879	1026	641	1055	1206	1177	1227	922	1014	767	862	477	518	325	210	257	111	105	78	68	41
WBGene00007067	1188	101	91	117	123	149	103	174	226	185	286	192	259	226	256	241	291	250	291	204	222	196	161	218	139
WBGene00167512	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174183	21	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007069	296	3	2	5	2	3	2	0	7	3	5	2	4	5	3	5	5	6	6	1	1	2	7	2	0
WBGene00005532	1068	10	12	2	9	13	12	10	8	9	11	11	15	9	7	7	7	2	10	3	6	9	6	7	4
WBGene00004964	1224	0	1	2	0	0	0	1	1	2	9	3	1	3	13	5	10	5	9	13	11	10	12	10	5
WBGene00195634	149	1	2	1	0	0	0	0	1	0	0	2	0	2	1	1	1	0	0	1	1	0	1	2	0
WBGene00199275	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00200016	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007070	1831	1085	949	1031	1044	1109	614	1139	1223	1404	1180	1445	1159	1404	1133	1503	1150	1344	1530	914	914	906	788	907	674
WBGene00000024	1403	0	0	0	0	0	0	0	0	0	3	0	1	2	7	1	5	0	1	4	5	1	1	1	1
WBGene00004098	1314	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	2	1	0	1	2	0	0
WBGene00007071	3477	7920	7234	7351	7449	7707	3893	7564	6524	8538	6150	8601	6199	9634	6860	10733	7433	10856	15771	6851	7984	12073	8883	12302	8883
WBGene00000724	987	12	8	8	6	2	4	5	10	10	2	19	7	17	9	9	13	12	8	6	13	6	7	7	9
WBGene00007072	1711	183	171	247	219	306	166	403	366	497	401	618	490	719	570	809	639	682	832	528	604	507	521	459	407
WBGene00007073	1687	378	345	410	360	478	284	671	609	968	739	1459	1098	2033	1872	2674	2472	2755	4320	2852	3938	3079	3945	3051	3604
WBGene00046675	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047233	21	0	3	3	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	2	0	1	0
WBGene00047873	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048175	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049302	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049689	21	0	3	1	1	2	0	1	1	0	0	0	0	1	3	1	0	0	1	0	3	0	1	3	2
WBGene00049793	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049913	21	0	0	2	0	0	0	0	1	0	0	2	0	1	1	0	1	1	0	0	0	1	2	1	0
WBGene00050269	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050493	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00006428	1286	32	46	68	55	52	27	47	45	60	37	45	39	53	54	69	67	64	123	80	70	66	80	58	83
WBGene00050631	21	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
WBGene00165544	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166115	21	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
WBGene00166185	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166273	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166350	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166608	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166862	21	0	1	3	1	1	0	2	0	0	1	0	1	0	0	0	2	0	3	0	0	0	1	1	0
WBGene00167004	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167182	21	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
WBGene00004929	2741	3571	3914	3040	3393	2832	1710	2914	2880	3407	3118	3662	3309	4101	3609	4167	3761	4041	5103	3123	3479	3593	3353	3604	3252
WBGene00014997	765	0	0	1	0	1	0	1	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1
